valor,data
54.51316,2012-05-18
,2012-05-19
,2012-05-20
56.59024,2012-05-21
55.03875,2012-05-22
54.61948,2012-05-23
54.063,2012-05-24
54.46316,2012-05-25
,2012-05-26
,2012-05-27
55.21269,2012-05-28
54.63306,2012-05-29
53.79791,2012-05-30
54.49041,2012-05-31
53.4029,2012-06-01
,2012-06-02
,2012-06-03
53.41675,2012-06-04
52.48144,2012-06-05
54.15604,2012-06-06
,2012-06-07
54.42985,2012-06-08
,2012-06-09
,2012-06-10
54.00145,2012-06-11
55.04903,2012-06-12
55.65051,2012-06-13
55.35167,2012-06-14
56.10469,2012-06-15
,2012-06-16
,2012-06-17
56.19521,2012-06-18
57.19549,2012-06-19
57.16655,2012-06-20
55.50517,2012-06-21
55.4395,2012-06-22
,2012-06-23
,2012-06-24
53.80538,2012-06-25
53.83657,2012-06-26
53.10893,2012-06-27
52.65225,2012-06-28
54.35463,2012-06-29
,2012-06-30
,2012-07-01
54.69279,2012-07-02
55.78032,2012-07-03
56.07682,2012-07-04
56.37906,2012-07-05
55.39405,2012-07-06
,2012-07-07
,2012-07-08
,2012-07-09
53.70582,2012-07-10
53.56914,2012-07-11
53.42087,2012-07-12
54.33051,2012-07-13
,2012-07-14
,2012-07-15
53.4018,2012-07-16
53.90947,2012-07-17
54.58313,2012-07-18
55.34665,2012-07-19
54.19479,2012-07-20
,2012-07-21
,2012-07-22
53.03396,2012-07-23
52.63863,2012-07-24
52.60754,2012-07-25
54.00272,2012-07-26
56.55312,2012-07-27
,2012-07-28
,2012-07-29
57.24092,2012-07-30
56.09705,2012-07-31
56.29193,2012-08-01
55.5204,2012-08-02
57.25522,2012-08-03
,2012-08-04
,2012-08-05
58.34461,2012-08-06
57.72566,2012-08-07
58.95098,2012-08-08
58.79713,2012-08-09
59.28093,2012-08-10
,2012-08-11
,2012-08-12
59.12274,2012-08-13
58.08292,2012-08-14
58.18928,2012-08-15
59.44579,2012-08-16
59.08237,2012-08-17
,2012-08-18
,2012-08-19
59.28309,2012-08-20
58.91773,2012-08-21
59.38076,2012-08-22
58.51155,2012-08-23
58.42576,2012-08-24
,2012-08-25
,2012-08-26
58.11146,2012-08-27
58.4064,2012-08-28
57.36919,2012-08-29
57.25643,2012-08-30
57.06145,2012-08-31
,2012-09-01
,2012-09-02
57.28145,2012-09-03
56.2339,2012-09-04
56.86391,2012-09-05
58.32124,2012-09-06
,2012-09-07
,2012-09-08
,2012-09-09
58.4041,2012-09-10
59.42255,2012-09-11
59.9218,2012-09-12
61.95812,2012-09-13
62.10547,2012-09-14
,2012-09-15
,2012-09-16
61.80598,2012-09-17
61.80433,2012-09-18
61.65183,2012-09-19
61.68797,2012-09-20
61.32007,2012-09-21
,2012-09-22
,2012-09-23
61.90999,2012-09-24
60.5011,2012-09-25
60.47805,2012-09-26
60.23979,2012-09-27
59.1758,2012-09-28
,2012-09-29
,2012-09-30
59.5708,2012-10-01
59.22208,2012-10-02
58.62733,2012-10-03
58.458,2012-10-04
58.57159,2012-10-05
,2012-10-06
,2012-10-07
59.31715,2012-10-08
58.93946,2012-10-09
58.45628,2012-10-10
59.16172,2012-10-11
,2012-10-12
,2012-10-13
,2012-10-14
59.60171,2012-10-15
59.74387,2012-10-16
60.08729,2012-10-17
59.7339,2012-10-18
58.92204,2012-10-19
,2012-10-20
,2012-10-21
58.7003,2012-10-22
57.69024,2012-10-23
57.16074,2012-10-24
57.83678,2012-10-25
57.27681,2012-10-26
,2012-10-27
,2012-10-28
57.17658,2012-10-29
57.68376,2012-10-30
57.06818,2012-10-31
58.38268,2012-11-01
,2012-11-02
,2012-11-03
,2012-11-04
58.20976,2012-11-05
59.45859,2012-11-06
58.51735,2012-11-07
57.52445,2012-11-08
57.35771,2012-11-09
,2012-11-10
,2012-11-11
57.06431,2012-11-12
57.48607,2012-11-13
56.27936,2012-11-14
,2012-11-15
55.40233,2012-11-16
,2012-11-17
,2012-11-18
56.45086,2012-11-19
,2012-11-20
56.24212,2012-11-21
56.43697,2012-11-22
57.57403,2012-11-23
,2012-11-24
,2012-11-25
56.7371,2012-11-26
56.24809,2012-11-27
56.5394,2012-11-28
57.85253,2012-11-29
57.47457,2012-11-30
,2012-12-01
,2012-12-02
58.20235,2012-12-03
57.56323,2012-12-04
57.67862,2012-12-05
57.65642,2012-12-06
58.48732,2012-12-07
,2012-12-08
,2012-12-09
59.24823,2012-12-10
59.62334,2012-12-11
59.47418,2012-12-12
59.31675,2012-12-13
59.60492,2012-12-14
,2012-12-15
,2012-12-16
59.56652,2012-12-17
60.46073,2012-12-18
60.99834,2012-12-19
61.27612,2012-12-20
61.00703,2012-12-21
,2012-12-22
,2012-12-23
,2012-12-24
,2012-12-25
60.95979,2012-12-26
60.41595,2012-12-27
60.95208,2012-12-28
,2012-12-29
,2012-12-30
,2012-12-31
,2013-01-01
62.5501,2013-01-02
63.31246,2013-01-03
62.52306,2013-01-04
,2013-01-05
,2013-01-06
61.93254,2013-01-07
61.12784,2013-01-08
61.57858,2013-01-09
61.67831,2013-01-10
61.49743,2013-01-11
,2013-01-12
,2013-01-13
62.08079,2013-01-14
61.72761,2013-01-15
61.78735,2013-01-16
62.19406,2013-01-17
61.95614,2013-01-18
,2013-01-19
,2013-01-20
61.89971,2013-01-21
61.69229,2013-01-22
61.96626,2013-01-23
61.16983,2013-01-24
,2013-01-25
,2013-01-26
,2013-01-27
60.02707,2013-01-28
60.40633,2013-01-29
59.3367,2013-01-30
59.76149,2013-01-31
60.35116,2013-02-01
,2013-02-02
,2013-02-03
59.57566,2013-02-04
59.44497,2013-02-05
58.95107,2013-02-06
58.37246,2013-02-07
58.49783,2013-02-08
,2013-02-09
,2013-02-10
,2013-02-11
,2013-02-12
58.40574,2013-02-13
58.07731,2013-02-14
57.9033,2013-02-15
,2013-02-16
,2013-02-17
57.6139,2013-02-18
57.3144,2013-02-19
56.1776,2013-02-20
56.15468,2013-02-21
56.69706,2013-02-22
,2013-02-23
,2013-02-24
56.61756,2013-02-25
56.94887,2013-02-26
57.27388,2013-02-27
57.42429,2013-02-28
56.88399,2013-03-01
,2013-03-02
,2013-03-03
56.49917,2013-03-04
55.95073,2013-03-05
57.94014,2013-03-06
58.84681,2013-03-07
58.43275,2013-03-08
,2013-03-09
,2013-03-10
58.54479,2013-03-11
58.20861,2013-03-12
57.3859,2013-03-13
57.28102,2013-03-14
56.86928,2013-03-15
,2013-03-16
,2013-03-17
56.97296,2013-03-18
56.36124,2013-03-19
56.03003,2013-03-20
55.57667,2013-03-21
55.2434,2013-03-22
,2013-03-23
,2013-03-24
54.87312,2013-03-25
55.67139,2013-03-26
56.03429,2013-03-27
56.35209,2013-03-28
,2013-03-29
,2013-03-30
,2013-03-31
55.90218,2013-04-01
54.8891,2013-04-02
55.56274,2013-04-03
54.64815,2013-04-04
55.0506,2013-04-05
,2013-04-06
,2013-04-07
55.09231,2013-04-08
55.91204,2013-04-09
56.18656,2013-04-10
55.40091,2013-04-11
54.96265,2013-04-12
,2013-04-13
,2013-04-14
52.94993,2013-04-15
53.99083,2013-04-16
52.88196,2013-04-17
53.16591,2013-04-18
53.92892,2013-04-19
